[<aliyunsdkcore.client.AcsClient object at 0x111269e10>]
{'id': 'af2f5a69-54b3-474e-bc28-01fcf671f253', 'ip': '10.81.62.186', 'hostname': 'iZbp13gs93o23beefycs8bZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.134', 'cpu_count': 4, 'memory': 16384}
{'id': '2cc9a938-a910-4b67-b5eb-f92ee1ab19b4', 'ip': '10.81.60.79', 'hostname': 'iZbp13gs93o23beefycs8dZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.206', 'cpu_count': 4, 'memory': 16384}
{'id': '68250169-c71c-4d96-ba28-29a0527d898e', 'ip': '10.81.62.183', 'hostname': 'iZbp13gs93o23beefycs8cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.41.247', 'cpu_count': 4, 'memory': 16384}
{'id': '7b62af36-b05b-4187-a496-001cee27b52b', 'ip': '10.252.210.239', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-ops-test1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.161', 'cpu_count': 2, 'memory': 8192}
{'id': 'e2d50049-0fc0-4688-ac4d-7ca8b5e95c79', 'ip': '10.27.229.101', 'hostname': 'vip5-ali-hangzhou-mig-kafka', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '118.178.131.31', 'cpu_count': 4, 'memory': 16384}
{'id': '3339d7d9-e2c0-4273-8bbc-3d2d170ca6ef', 'ip': '10.81.49.236', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave12', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.24.119', 'cpu_count': 8, 'memory': 32768}
{'id': '7de917e6-89bd-45b1-b220-aecd201669d2', 'ip': '10.81.49.30', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave11', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.22.132', 'cpu_count': 8, 'memory': 32768}
{'id': '5476bd28-4ebf-4bba-9b3c-a0e5313d8d3c', 'ip': '10.81.74.20', 'hostname': 'iZbp18dymp9bhnmfw9xqeyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.42', 'cpu_count': 8, 'memory': 16384}
{'id': '940c18a7-1a61-49db-96c7-d30b3d07edbd', 'ip': '10.80.100.214', 'hostname': 'iZbp18dymp9bhnmfw9xqewZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.61.69', 'cpu_count': 8, 'memory': 16384}
{'id': '487e01f3-5b3d-4a84-8df5-255ec7274fcc', 'ip': '10.81.74.43', 'hostname': 'iZbp18dymp9bhnmfw9xqexZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.40', 'cpu_count': 8, 'memory': 16384}
{'id': '6b91276e-88ac-466d-be34-3bad945a9f1a', 'ip': '10.80.153.173', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave10', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.33.168', 'cpu_count': 8, 'memory': 32768}
{'id': '880a831d-da17-421d-ba6f-a22477ec7f3f', 'ip': '10.81.48.220', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave9', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.234', 'cpu_count': 8, 'memory': 32768}
{'id': 'd7d28c8e-3fcd-41ce-a5b7-465a733919b5', 'ip': '10.25.2.74', 'hostname': 'iZbp117mtsx7ux9dcfeh80Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
