[<aliyunsdkcore.client.AcsClient object at 0x10a93a358>]
{'id': '309cc38d-b2af-493d-9414-5f540083966f', 'ip': '10.81.62.186', 'hostname': 'iZbp13gs93o23beefycs8bZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.134', 'cpu_count': 4, 'memory': 16384}
{'id': '267ebfc1-49c4-4a30-b7cb-8b7181aada9f', 'ip': '10.81.60.79', 'hostname': 'iZbp13gs93o23beefycs8dZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.206', 'cpu_count': 4, 'memory': 16384}
{'id': '4d02abc4-4239-4771-b12f-2c69182928cc', 'ip': '10.81.62.183', 'hostname': 'iZbp13gs93o23beefycs8cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.41.247', 'cpu_count': 4, 'memory': 16384}
{'id': '2b9f6a5e-642f-4a9d-b6a7-c01869cdf945', 'ip': '10.252.210.239', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-ops-test1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.161', 'cpu_count': 2, 'memory': 8192}
{'id': 'c27d8943-7d9e-46c3-bbe5-51d4327147dc', 'ip': '10.27.229.101', 'hostname': 'vip5-ali-hangzhou-mig-kafka', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '118.178.131.31', 'cpu_count': 4, 'memory': 16384}
{'id': '80a5b80d-faa0-44fe-aaf1-85e85e991e2b', 'ip': '10.81.49.236', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave12', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.24.119', 'cpu_count': 8, 'memory': 32768}
{'id': 'b407e587-a610-4af1-b426-cdae42c0df3c', 'ip': '10.81.49.30', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave11', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.22.132', 'cpu_count': 8, 'memory': 32768}
{'id': 'aa64cdc7-b0ec-4a93-bcff-4415bd3ba0bc', 'ip': '10.81.74.20', 'hostname': 'iZbp18dymp9bhnmfw9xqeyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.42', 'cpu_count': 8, 'memory': 16384}
{'id': '285bb27c-6cbf-4387-a876-19340691c229', 'ip': '10.80.100.214', 'hostname': 'iZbp18dymp9bhnmfw9xqewZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.61.69', 'cpu_count': 8, 'memory': 16384}
{'id': '5733b818-edeb-4866-8f74-e3907d733036', 'ip': '10.81.74.43', 'hostname': 'iZbp18dymp9bhnmfw9xqexZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.40', 'cpu_count': 8, 'memory': 16384}
{'id': 'f7b44061-8028-4d4c-8d9a-293984ca40ee', 'ip': '10.80.153.173', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave10', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.33.168', 'cpu_count': 8, 'memory': 32768}
