[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': '932306ec-9962-49e8-82be-1df720d684d9', 'ip': '10.81.62.186', 'hostname': 'iZbp13gs93o23beefycs8bZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.134', 'cpu_count': 4, 'memory': 16384}
{'id': '11c87ccf-eedb-4da0-b260-5e50adebadff', 'ip': '10.81.60.79', 'hostname': 'iZbp13gs93o23beefycs8dZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.206', 'cpu_count': 4, 'memory': 16384}
{'id': '1c73c55f-664a-43e2-9270-6824edd49c89', 'ip': '10.81.62.183', 'hostname': 'iZbp13gs93o23beefycs8cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.41.247', 'cpu_count': 4, 'memory': 16384}
{'id': '87a2411c-cb81-402b-8537-41eecacfc4db', 'ip': '10.252.210.239', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-ops-test1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.161', 'cpu_count': 2, 'memory': 8192}
{'id': '78ba9a27-1c73-4587-a9a8-38ae133a06f4', 'ip': '10.27.229.101', 'hostname': 'vip5-ali-hangzhou-mig-kafka', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '118.178.131.31', 'cpu_count': 4, 'memory': 16384}
{'id': '5fc367b2-5de9-4ad1-9315-856a8da61cbe', 'ip': '10.81.49.236', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave12', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.24.119', 'cpu_count': 8, 'memory': 32768}
{'id': 'e3f28fb4-9d9a-4696-9fa2-4c110d4e1180', 'ip': '10.81.49.30', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave11', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.22.132', 'cpu_count': 8, 'memory': 32768}
{'id': 'b4127d4f-1ff8-45d3-82ce-aa919e9f035d', 'ip': '10.81.74.20', 'hostname': 'iZbp18dymp9bhnmfw9xqeyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.42', 'cpu_count': 8, 'memory': 16384}
{'id': '7967d95b-2886-41ea-ae71-3918fd33c2fc', 'ip': '10.80.100.214', 'hostname': 'iZbp18dymp9bhnmfw9xqewZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.61.69', 'cpu_count': 8, 'memory': 16384}
{'id': '62eecc0e-1486-4876-88e4-8ac8e8485eaf', 'ip': '10.81.74.43', 'hostname': 'iZbp18dymp9bhnmfw9xqexZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.40', 'cpu_count': 8, 'memory': 16384}
{'id': '5c919326-a81c-44d3-af1e-c9f6cf9d0435', 'ip': '10.80.153.173', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave10', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.33.168', 'cpu_count': 8, 'memory': 32768}
{'id': '08cd9661-3317-482a-bb33-96985377acf7', 'ip': '10.81.48.220', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave9', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.234', 'cpu_count': 8, 'memory': 32768}
{'id': '903df28f-9772-4e79-8379-e7e62521d98a', 'ip': '10.25.2.74', 'hostname': 'iZbp117mtsx7ux9dcfeh80Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '94683a35-d4b0-480b-a86d-0e4d881c1ea3', 'ip': '10.46.231.95', 'hostname': 'iZbp19vensymevivmvnt9aZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.106', 'cpu_count': 8, 'memory': 32768}
{'id': 'd792010a-e4cc-4d35-9d6f-a2db950fafca', 'ip': '10.81.44.39', 'hostname': 'iZbp19vensymevivmvnt96Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.18.237', 'cpu_count': 8, 'memory': 32768}
{'id': 'cc6c9275-949c-4e07-b07b-1f434fc857b8', 'ip': '10.46.230.238', 'hostname': 'iZbp19vensymevivmvnt97Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.17.146', 'cpu_count': 8, 'memory': 32768}
{'id': '174f7ee0-8990-48c5-ac19-149ab6ed4e30', 'ip': '10.81.45.74', 'hostname': 'iZbp19vensymevivmvnt98Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.40', 'cpu_count': 8, 'memory': 32768}
{'id': '71b4f0bf-29a1-4a8f-82ca-c5f3e9c5c4d1', 'ip': '10.81.45.52', 'hostname': 'iZbp19vensymevivmvnt93Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.16.72', 'cpu_count': 8, 'memory': 32768}
{'id': '6a84a665-c6ae-47f3-80d4-dfb97d9e91b9', 'ip': '10.81.45.179', 'hostname': 'iZbp19vensymevivmvnt95Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.18.39', 'cpu_count': 8, 'memory': 32768}
{'id': 'd48d50ed-4668-45a1-bf92-1900818e5696', 'ip': '10.81.44.56', 'hostname': 'iZbp19vensymevivmvnt94Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.27', 'cpu_count': 8, 'memory': 32768}
{'id': '65664b98-621e-4126-9222-bf5138f7aa74', 'ip': '10.81.45.166', 'hostname': 'iZbp19vensymevivmvnt99Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.147', 'cpu_count': 8, 'memory': 32768}
{'id': '2e0f19d1-88d2-4198-a101-6ae35e6c5cd0', 'ip': '10.81.86.35', 'hostname': 'iZbp1esy3n96eopc0580w1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.5.190', 'cpu_count': 4, 'memory': 16384}
{'id': '0a884cbc-3b39-4621-b57a-23067c683027', 'ip': '10.81.77.19', 'hostname': 'iZbp1bne9d5ha95y390sj9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.249.19', 'cpu_count': 8, 'memory': 32768}
