[<aliyunsdkcore.client.AcsClient object at 0x109448978>]
{'id': 'c9bebb50-889f-4a67-ba6f-c2e74947cea9', 'ip': '10.81.62.186', 'hostname': 'iZbp13gs93o23beefycs8bZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.134', 'cpu_count': 4, 'memory': 16384}
{'id': 'bd9ba2f4-b850-4375-b11d-490dcb7bb644', 'ip': '10.81.60.79', 'hostname': 'iZbp13gs93o23beefycs8dZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.35.206', 'cpu_count': 4, 'memory': 16384}
{'id': '0375ffee-448f-4115-91b8-15136ea07356', 'ip': '10.81.62.183', 'hostname': 'iZbp13gs93o23beefycs8cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.41.247', 'cpu_count': 4, 'memory': 16384}
{'id': '674dbbdb-f54c-473d-a38c-a538f7c1d434', 'ip': '10.252.210.239', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-ops-test1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.161', 'cpu_count': 2, 'memory': 8192}
{'id': 'b26beb9f-d171-464e-862b-bfbb2afef75a', 'ip': '10.27.229.101', 'hostname': 'vip5-ali-hangzhou-mig-kafka', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '118.178.131.31', 'cpu_count': 4, 'memory': 16384}
{'id': 'b541a696-8dea-48ea-9c51-f98ea70a9c64', 'ip': '10.81.49.236', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave12', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.24.119', 'cpu_count': 8, 'memory': 32768}
{'id': '274ca025-7907-4732-bc4f-825ed9916e9c', 'ip': '10.81.49.30', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave11', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.22.132', 'cpu_count': 8, 'memory': 32768}
{'id': '8b3b4e9c-70aa-4569-92bd-1ad87346bc0e', 'ip': '10.81.74.20', 'hostname': 'iZbp18dymp9bhnmfw9xqeyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.42', 'cpu_count': 8, 'memory': 16384}
{'id': '837e53bf-1021-4cfa-a942-9ff4e09257c9', 'ip': '10.80.100.214', 'hostname': 'iZbp18dymp9bhnmfw9xqewZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.61.69', 'cpu_count': 8, 'memory': 16384}
{'id': '479cd3cb-7e80-4c8d-9a1c-8150c8c96a9d', 'ip': '10.81.74.43', 'hostname': 'iZbp18dymp9bhnmfw9xqexZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.254.40', 'cpu_count': 8, 'memory': 16384}
{'id': '47e8b67f-af64-4c52-a2cf-51fa196f42da', 'ip': '10.80.153.173', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave10', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.33.168', 'cpu_count': 8, 'memory': 32768}
{'id': '5b3b31ea-d108-41b8-a9b1-24f708faea10', 'ip': '10.81.48.220', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-mesos-slave9', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.234', 'cpu_count': 8, 'memory': 32768}
{'id': '3460ea91-1bb3-4f42-ba15-59e61732102c', 'ip': '10.25.2.74', 'hostname': 'iZbp117mtsx7ux9dcfeh80Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': 'b81f1923-c2ac-47ac-b11e-52ca064d8b77', 'ip': '10.46.231.95', 'hostname': 'iZbp19vensymevivmvnt9aZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.106', 'cpu_count': 8, 'memory': 32768}
{'id': 'ceb04519-eb20-4d2e-a889-50c22c878431', 'ip': '10.81.44.39', 'hostname': 'iZbp19vensymevivmvnt96Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.18.237', 'cpu_count': 8, 'memory': 32768}
{'id': '7d093492-aa64-491c-b183-d61ab4038fca', 'ip': '10.46.230.238', 'hostname': 'iZbp19vensymevivmvnt97Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.17.146', 'cpu_count': 8, 'memory': 32768}
{'id': 'c3c9e0fe-6c32-4fe7-9216-511d3294ec7a', 'ip': '10.81.45.74', 'hostname': 'iZbp19vensymevivmvnt98Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.40', 'cpu_count': 8, 'memory': 32768}
{'id': '14e1bdd3-e57f-44e3-a784-04bbc81bdffd', 'ip': '10.81.45.52', 'hostname': 'iZbp19vensymevivmvnt93Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.16.72', 'cpu_count': 8, 'memory': 32768}
{'id': 'ea9bef02-8fa2-415c-b3c3-9735d7379bb8', 'ip': '10.81.45.179', 'hostname': 'iZbp19vensymevivmvnt95Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.18.39', 'cpu_count': 8, 'memory': 32768}
{'id': '21e05f2e-e4ca-442e-94e1-5a51bab177e3', 'ip': '10.81.44.56', 'hostname': 'iZbp19vensymevivmvnt94Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.21.27', 'cpu_count': 8, 'memory': 32768}
{'id': '93435976-c793-4528-97ee-bf36a1e2da62', 'ip': '10.81.45.166', 'hostname': 'iZbp19vensymevivmvnt99Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.20.147', 'cpu_count': 8, 'memory': 32768}
{'id': '8fc7df04-1306-4b75-b668-e143d4081ae2', 'ip': '10.81.86.35', 'hostname': 'iZbp1esy3n96eopc0580w1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.97.5.190', 'cpu_count': 4, 'memory': 16384}
{'id': 'e063c624-4fb4-4215-b556-0efb09478c48', 'ip': '10.81.77.19', 'hostname': 'iZbp1bne9d5ha95y390sj9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '47.96.249.19', 'cpu_count': 8, 'memory': 32768}
{'id': 'c584f2f0-c6d2-4826-9341-633766b3367d', 'ip': '10.46.229.87', 'hostname': 'iZbp11kij6ti02x9pucepwZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '6b67c612-af54-42dc-94c4-890bf4e0338c', 'ip': '10.46.228.112', 'hostname': 'iZbp11kij6ti02x9pucepvZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'ee18c42f-663c-4ffc-9835-d4e8c3fee8b0', 'ip': '10.135.197.12', 'hostname': 'iZbp11zz9zmbbkwelrpny5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '101.37.255.176', 'cpu_count': 2, 'memory': 4096}
{'id': 'bb27e1e6-b0fd-4fbb-a6ce-c15c2748be82', 'ip': '10.80.221.193', 'hostname': 'iZbp11s6lw79vduuz8yo8fZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': 'c2e28fba-1de8-4c0c-b899-aeea0db29020', 'ip': '10.46.228.53', 'hostname': 'iZbp1h59bz4ehathu4edmmZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 16384}
{'id': '5fdb3088-d7f9-4912-81d8-9a083eca324e', 'ip': '10.46.227.217', 'hostname': 'iZbp12rrr9fg738jtl4ih6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
